code;description;unit_id
01012100;"Heste, racerene avlsdyr";intrastat_unit_pce
01012910;"Heste til slagtning";intrastat_unit_pce
01012990;"Heste, levende (undtagen racerene avlsdyr og heste til slagtning)";intrastat_unit_pce
01013000;"Æsler, levende";intrastat_unit_pce
01019000;"Muldyr og mulæsler, levende";intrastat_unit_pce
01022110;"Kvier, racerene ""hundyr, der endnu aldrig har kælvet""";intrastat_unit_pce
01022130;"Køer, racerene (ekskl. kvier)";intrastat_unit_pce
01022190;"Kvæg, racerent til avl (undtagen kvier og køer)";intrastat_unit_pce
01022905;"Kvæg, levende af underslægterne Bibos eller Poephagus";intrastat_unit_pce
01022910;"Kvæg, levende af en vægt <= 80 kg (undtagen racerene opdrættet til avl)";intrastat_unit_pce
01022921;"Kvæg af vægt> 80 kg, men <= 160 kg, til slagtning";intrastat_unit_pce
01022929;"Kvæg, levende af en vægt> 80 kg, men <= 160 kg (undtagen til slagtning, renavlet til avl)";intrastat_unit_pce
01022941;"Kvæg af vægt> 160 kg, men <= 300 kg, til slagtning";intrastat_unit_pce
01022949;"Kvæg, levende af en vægt på> 160 kg, men <= 300 kg (undtagen til slagtning, renavlet til avl)";intrastat_unit_pce
01022951;"Kvier ""hundyr, der endnu aldrig har kælvet"" af vægt> 300 kg, til slagtning";intrastat_unit_pce
01022959;"Kvier, levende ""hundyr, der endnu aldrig har kælvet"" af vægt> 300 kg (undtagen til slagtning og renavlet til avl)";intrastat_unit_pce
01022961;"Køer af vægt> 300 kg, til slagtning (undtagen kvier)";intrastat_unit_pce
01022969;"Køer, levende af vægt> 300 kg (undtagen til slagtning og renavlet til avl og kvier)";intrastat_unit_pce
01022991;"Kvæg af vægt> 300 kg, til slagtning (undtagen kvier og køer)";intrastat_unit_pce
01022999;"Kvæg, levende af en vægt på> 300 kg (undtagen til slagtning, racerene til avl og kvier og køer)";intrastat_unit_pce
01023100;"Bøfler, racerene avlsdyr";intrastat_unit_pce
01023910;"Bøfler, tamkvæg, undt. racerene avlsdyr,";intrastat_unit_pce
01023990;"Buffalo, levende (ekskl. indenlandsk arter og racerene til avl)";intrastat_unit_pce
01029020;"Hornkvæg, undt. kvier, køer,bøfler, racerene avlsdyr";intrastat_unit_pce
01029091;"Hornkvæg, tamkvæg, undt. kvier, køer,bøfler, undt. racerene avlsdyr";intrastat_unit_pce
01029099;"Kvæg, levende (undtagen kvæg, bøfler, racerene til avl og tamdyr)";intrastat_unit_pce
01031000;"Svin, levende, racerene avlsdyr";intrastat_unit_pce
01039110;"Tamsvin, levende, af vægt < 50 kg (undtagen racerene avlsdyr)";intrastat_unit_pce
01039190;"Svin, levende, af vægt < 50 kg (undtagen tamsvin)";intrastat_unit_pce
01039211;"Tamsøer, som har faret mindst én gang, levende, af vægt >= 160 kg (undtagen racerene avlsdyr)";intrastat_unit_pce
01039219;"Tamsvin, levende, af vægt >= 50 kg (undtagen racerene avlsdyr og søer, af vægt >= 160 kg, som har faret mindst én gang)";intrastat_unit_pce
01039290;"Svin, levende, af vægt >= 50 kg (undtagen tamsvin)";intrastat_unit_pce
01041010;"Får, levende, racerene avlsdyr";intrastat_unit_pce
01041030;"Lam ""dyr <= ét år"", levende (undtagen racerene avlsdyr)";intrastat_unit_pce
01041080;"Får, levende (undtagen lam ""dyr <= ét år"" og undtagen racerene avlsdyr)";intrastat_unit_pce
01042010;"Geder, levende, racerene avlsdyr";intrastat_unit_pce
01042090;"Geder, levende (undtagen racerene avlsdyr)";intrastat_unit_pce
01051111;"Avls- og formeringshønekyllinger af arten ""Gallus domesticus"", æglægningsracer, af vægt <= 185 g";intrastat_unit_pce
01051119;"Avls- og formeringshønekyllinger af arten ""Gallus domesticus"", af vægt <= 185 g (undtagen æglægningsracer)";intrastat_unit_pce
01051191;"Høns af arten ""Gallus domesticus"", æglægningsracer, af vægt <= 185 g (undtagen avls- og formeringshønekyllinger)";intrastat_unit_pce
01051199;"Høns af arten ""Gallus domesticus"", levende, af vægt <= 185 g (undtagen æglægningsracer og undtagen avls- og formeringshønekyllinger)";intrastat_unit_pce
01051200;"Tamme kalkuner, levende, af vægt <= 185 g";intrastat_unit_pce
01051300;"Tamænder,levende af vægt <= 185 g";intrastat_unit_pce
01051400;"Tamme gæs, levende, af vægt <= 185 g";intrastat_unit_pce
01051500;"Perlehøns, max 185 g/stk";intrastat_unit_pce
01059400;"Høns af arten ""Gallus domesticus"", levende, af vægt > 185";intrastat_unit_pce
01059910;"Tamme ænder, levende, af vægt > 185 g";intrastat_unit_pce
01059920;"Tamme gæs, levende, af vægt > 185 g";intrastat_unit_pce
01059930;"Tamme kalkuner, levende, af vægt > 185 g";intrastat_unit_pce
01059950;"Tamme perlehøns, levende, af vægt > 185 g";intrastat_unit_pce
01061100;"Primater, levende";intrastat_unit_pce
01061200;"Hvaler, delfiner og marsvin (pattedyr af ordenen Cetacea); manater og dygonger (pattedyr af ordenen Sirenia), sæler, søløver og hvalrosser (pattedyr af ordenen Pinnipedia), levende";intrastat_unit_pce
01061300;"Kameler og andre dyr af kamelfamilien (Camelidae), levende";intrastat_unit_pce
01061410;"Tamkaniner, levende";intrastat_unit_pce
01061490;"Kaniner og harer, levende, undt. tamkaniner";
01061900;"Pattedyr, levende, i.a.n.";
01062000;"Krybdyr, herunder slanger og skildpadder, levende";intrastat_unit_pce
01063100;"Rovfugle, levende";intrastat_unit_pce
01063200;"Papegøjer, herunder parakitter, araer og kakaduer, levende";intrastat_unit_pce
01063300;"Strudse og emuer [Dromaius novaehollandiae], levende";intrastat_unit_pce
01063910;"Duer, levende";intrastat_unit_pce
01063980;"Fugle, levende,undt rovfugle, papegøjer, strudse og duer";
01064100;"Bier, levende";
01064900;"Insekter, undt. bier, levende";
01069000;"Levende dyr (undtagen pattedyr, krybdyr, fugle, insekter, fisk, krebsdyr, bløddyr og andre hvirvelløse vanddyr og kulturer af mikroorganismer, osv.)";
02011000;"Hele og halve kroppe af hornkvæg, ferske eller kølede";
02012020;"Quartiers compensés af hornkvæg, ikke udbenede, ferske eller kølede";
02012030;"Forfjerdinger af hornkvæg, sammenhængende eller adskilte, ikke udbenede, ferske eller kølede";
02012050;"Bagfjerdinger af hornkvæg, sammenhængende eller adskilte, ikke udbenede, ferske eller kølede";
02012090;"Kød af hornkvæg, ikke udbenet, fersk eller kølet (undtagen hele og halve kroppe, ""quartiers compensés"", forfjerdinger og bagfjerdinger)";
02013000;"Kød af hornkvæg, udbenet, fersk eller kølet";
02021000;"Hele og halve kroppe af hornkvæg, frosne";
02022010;"Quartiers compensés af hornkvæg, ikke udbenede, frosne";
02022030;"Forfjerdinger af hornkvæg, sammenhængende eller adskilte, ikke udbenede, frosne";
02022050;"Bagfjerdinger af hornkvæg, sammenhængende eller adskilte, ikke udbenede, frosne";
02022090;"Kød af hornkvæg, ikke udbenet, frosset (undtagen hele og halve kroppe, ""quartiers compensés"", forfjerdinger og bagfjerdinger)";
02023010;"Forfjerdinger af hornkvæg, udbenede, frosne, hele eller opskåret i højst fem stykker, frosset i én enkelt blok, eller ""quartiers compensés"", frosset i to blokke, den ene bestående af forfjerdingen, hel eller opskåret i højst fem stykker, og den anden af bagfjerdingen (uden mørbrad) i et stykke";
02023050;"Udskæringer benævnt ""crop"", ""chuck and blade"" og ""brisket"" af hornkvæg, udbenede, frosne";
02023090;"Kød af hornkvæg, udbenet, frosset (undtagen forfjerdinger, hele eller opskåret i højst fem stykker, frosset i én enkelt blok, ""quartiers compensés"", frosset i to blokke, den ene bestående af forfjerdingen, hel eller opskåret i højst fem stykker, og den anden af bagfjerdingen, uden mørbrad, i ét stykke, samt udskæringer benævnt ""crop"", ""chuck and blade"" og ""brisket"")";
02031110;"Hele og halve kroppe af tamsvin, ferske eller kølede";
02031190;"Hele og halve kroppe af svin, ferske eller kølede (undtagen tamsvin)";
02031211;"Skinke og stykker deraf, ikke udbenet, af tamsvin, fersk eller kølet";
02031219;"Bov og stykker deraf, ikke udbenet, af tamsvin, fersk eller kølet";
02031290;"Skinke og bov samt stykker deraf, ikke udbenet, af svin, fersk eller kølet (undtagen tamsvin)";
02031911;"Forende og stykker deraf, af tamsvin, fersk eller kølet";
02031913;"Kam og stykker deraf, af tamsvin, fersk eller kølet";
02031915;"Brystflæsk og stykker deraf, af tamsvin, fersk eller kølet";
02031955;"Kød af tamsvin, udbenet, fersk eller kølet (undtagen forende, kam og brystflæsk og stykker deraf)";
02031959;"Kød af tamsvin, ikke udbenet, fersk eller kølet (undtagen hele og halve kroppe, skinke og bov og stykker deraf, samt forende, kam og brystflæsk og stykker deraf)";
02031990;"Kød af svin, fersk eller kølet (undtagen tamsvin, hele og halve kroppe, skinke og bov og stykker deraf, ikke udbenet)";
02032110;"Hele og halve kroppe af tamsvin, frosne";
02032190;"Hele og halve kroppe af svin, frosne (undtagen tamsvin)";
02032211;"Skinke og stykker deraf, ikke udbenet, af tamsvin, frosset";
02032219;"Bov og stykker deraf, ikke udbenet, af tamsvin, frosset";
02032290;"Skinke og bov samt stykker deraf, ikke udbenet, af svin, frosset (undtagen tamsvin)";
02032911;"Forende og stykker deraf, af tamsvin, frosset";
02032913;"Kam og stykker deraf, af tamsvin, frosset";
02032915;"Brystflæsk og stykker deraf, af tamsvin, frosset";
02032955;"Kød af tamsvin, udbenet, frosset (undtagen forende, kam og brystflæsk og stykker deraf)";
02032959;"Kød af tamsvin, ikke udbenet, frosset (undtagen hele og halve kroppe, skinke og bov og stykker deraf, samt forende, kam og brystflæsk og dele deraf)";
02032990;"Kød af svin, frosset (undtagen tamsvin, hele og halve kroppe samt skinke og bov og stykker deraf, ikke udbenet)";
02041000;"Hele og halve kroppe af lam, ferske eller kølede";
02042100;"Hele og halve kroppe af får, ferske eller kølede (undtagen af lam)";
02042210;"Forsæt, dvs. dobbelt forfjerding, og forfjerdinger af får, ikke udbenede, ferske eller kølede";
02042230;"Kam og/eller nyresteg, dvs. dobbelt ryg, og halv kam og/eller nyresteg, dvs. enkelt ryg, af får, ikke udbenet, fersk eller kølet";
02042250;"Culotte, dvs. dobbelt kølle, og halv culotte af får, ikke udbenet, fersk eller kølet";
02042290;"Kød af får, ikke udbenet, fersk eller kølet (undtagen hele og halve kroppe, forsæt og forfjerdinger, kam og/eller nyresteg og halv kam og/eller nyresteg samt culotte og halv culotte)";
02042300;"Kød af får, udbenet, fersk eller kølet";
02043000;"Hele og halve kroppe af lam, frosne";
02044100;"Hele og halve kroppe af får, frosne (undtagen af lam)";
02044210;"Forsæt, dvs. dobbelt forfjerding, og forfjerdinger af får, ikke udbenede, frosne";
02044230;"Kam og/eller nyresteg, dvs. dobbelt ryg, og halv kam og/eller nyresteg, dvs. enkelt ryg, af får, ikke udbenet, frosset";
02044250;"Culotte, dvs. dobbelt kølle, og halv culotte af får, ikke udbenet, frosset";
02044290;"Kød af får, ikke udbenet, frosset (undtagen hele og halve kroppe, forsæt og forfjerdinger, kam og/eller nyresteg og halv kam og/eller nyresteg, samt culotte og halv culotte)";
02044310;"Kød af lam, udbenet, frosset";
02044390;"Kød af får, udbenet, frosset (undtagen af lam)";
02045011;"Hele og halve kroppe af geder, ferske eller kølede";
02045013;"Forsæt, dvs. dobbelt forfjerding, og forfjerdinger af geder, ferske eller kølede";
02045015;"Kam og/eller nyresteg, dvs. dobbelt ryg, og halv kam og/eller nyresteg, dvs. enkelt ryg, af geder, fersk eller kølet";
02045019;"Culotte, dvs. dobbelt kølle, og halv culotte af geder, fersk eller kølet";
02045031;"Kød af geder, ikke udbenet, fersk eller kølet (undtagen hele og halve kroppe, forsæt og forfjerdinger, kam og/eller nyresteg og halv kam og/eller nyresteg samt culotte og halv culotte)";
02045039;"Kød af geder, udbenet, fersk eller kølet";
02045051;"Hele og halve kroppe af geder, frosne";
02045053;"Forsæt, dvs. dobbelt forfjerding, og forfjerdinger af geder, frosne";
02045055;"Kam og/eller nyresteg, dvs. dobbelt ryg, og halv kam og/eller nyresteg, dvs. enkelt ryg, af geder, frosset";
02045059;"Culotte, dvs. dobbelt kølle, og halv culotte af geder, frosset";
02045071;"Kød af geder, ikke udbenet, frosset (undtagen hele og halve kroppe, forsæt og forfjerdinger, kam og/eller nyresteg og halv kam og/eller nyresteg, samt culotte og halv culotte)";
02045079;"Kød af geder, udbenet, frosset";
02050020;"Hestekød samt kød af æsler, muldyr eller mulæsler, fersk eller kølet";
02050080;"Hestekød samt kød af æsler, muldyr eller mulæsler, frosset";
